"CIDADE","UF"
"COQUEIRAL","MINAS GERAIS"
"COQUEIRO BAIXO","RIO GRANDE DO SUL"
"COQUEIROS DO SUL","RIO GRANDE DO SUL"
"COQUEIRO SECO","ALAGOAS"
"CORACAO DE JESUS","MINAS GERAIS"
"CORACAO DE MARIA","BAHIA"
"CORBELIA","PARANA"
"CORDEIROPOLIS","SAO PAULO"
"CORDEIRO","RIO DE JANEIRO"
"CORDEIROS","BAHIA"
"CORDILHEIRA ALTA","SANTA CATARINA"
"CORDISBURGO","MINAS GERAIS"
"CORDISLANDIA","MINAS GERAIS"
"COREAU","CEARA"
"COREMAS","PARAIBA"
"CORGUINHO","MATO GROSSO DO SUL"
"CORIBE","BAHIA"
"CORINTO","MINAS GERAIS"
"CORNELIO PROCOPIO","PARANA"
"COROACI","MINAS GERAIS"
"COROADOS","SAO PAULO"
"COROATA","MARANHAO"
"COROMANDEL","MINAS GERAIS"
"CORONEL BARROS","RIO GRANDE DO SUL"
"CORONEL BICACO","RIO GRANDE DO SUL"
"CORONEL DOMINGOS SOARES","PARANA"
"CORONEL EZEQUIEL","RIO GRANDE DO NORTE"
"CORONEL FABRICIANO","MINAS GERAIS"
"CORONEL FREITAS","SANTA CATARINA"
"CORONEL JOAO PESSOA","RIO GRANDE DO NORTE"
"CORONEL JOAO SA","BAHIA"
"CORONEL JOSE DIAS","PIAUI"
"CORONEL MACEDO","SAO PAULO"
"CORONEL MARTINS","SANTA CATARINA"
"CORONEL MURTA","MINAS GERAIS"
"CORONEL PACHECO","MINAS GERAIS"
"CORONEL PILAR","RIO GRANDE DO SUL"
"CORONEL SAPUCAIA","MATO GROSSO DO SUL"
"CORONEL VIVIDA","PARANA"
"CORONEL XAVIER CHAVES","MINAS GERAIS"
"CORREGO DANTA","MINAS GERAIS"
"CORREGO DO BOM JESUS","MINAS GERAIS"
"CORREGO DO OURO","GOIAS"
"CORREGO FUNDO","MINAS GERAIS"
"CORREGO NOVO","MINAS GERAIS"
"CORREIA PINTO","SANTA CATARINA"
"CORRENTE","PIAUI"
"CORRENTES","PERNAMBUCO"
"CORRENTINA","BAHIA"
"CORTES","PERNAMBUCO"
"CORUMBA DE GOIAS","GOIAS"
"CORUMBAIBA","GOIAS"
"CORUMBA","MATO GROSSO DO SUL"
"CORUMBATAI DO SUL","PARANA"
"CORUMBATAI","SAO PAULO"
"CORUMBIARA","RONDONIA"
"CORUPA","SANTA CATARINA"
"CORURIPE","ALAGOAS"
"COSMOPOLIS","SAO PAULO"
"COSMORAMA","SAO PAULO"
"COSTA MARQUES","RONDONIA"
"COSTA RICA","MATO GROSSO DO SUL"
"COTEGIPE","BAHIA"
"COTIA","SAO PAULO"
"COTIPORA","RIO GRANDE DO SUL"
"COTRIGUACU","MATO GROSSO"
"COUTO DE MAGALHAES DE MINAS","MINAS GERAIS"
"COUTO MAGALHAES","TOCANTINS"
"COXILHA","RIO GRANDE DO SUL"
"COXIM","MATO GROSSO DO SUL"
"COXIXOLA","PARAIBA"
"CRAIBAS","ALAGOAS"
"CRATEUS","CEARA"
"CRATO","CEARA"
"CRAVINHOS","SAO PAULO"
"CRAVOLANDIA","BAHIA"
"CRICIUMA","SANTA CATARINA"
"CRISOLITA","MINAS GERAIS"
"CRISOPOLIS","BAHIA"
"CRISSIUMAL","RIO GRANDE DO SUL"
"CRISTAIS PAULISTA","SAO PAULO"
"CRISTAIS","MINAS GERAIS"
"CRISTALANDIA DO PIAUI","PIAUI"
"CRISTALANDIA","TOCANTINS"
"CRISTAL DO SUL","RIO GRANDE DO SUL"
"CRISTALIA","MINAS GERAIS"
"CRISTALINA","GOIAS"
"CRISTAL","RIO GRANDE DO SUL"
"CRISTIANO OTONI","MINAS GERAIS"
"CRISTIANOPOLIS","GOIAS"
"CRISTINAPOLIS","SERGIPE"
"CRISTINA","MINAS GERAIS"
"CRISTINO CASTRO","PIAUI"
"CRISTOPOLIS","BAHIA"
"CRIXAS DO TOCANTINS","TOCANTINS"
"CRIXAS","GOIAS"
"CROATA","CEARA"
"CROMINIA","GOIAS"
"CRUCILANDIA","MINAS GERAIS"
"CRUZALIA","SAO PAULO"
"CRUZ ALTA","RIO GRANDE DO SUL"
"CRUZALTENSE","RIO GRANDE DO SUL"
"CRUZ DAS ALMAS","BAHIA"
"CRUZ DO ESPIRITO SANTO","PARAIBA"
"CRUZEIRO DA FORTALEZA","MINAS GERAIS"
"CRUZEIRO DO IGUACU","PARANA"
"CRUZEIRO DO OESTE","PARANA"
"CRUZEIRO DO SUL","ACRE"
"CRUZEIRO DO SUL","PARANA"
"CRUZEIRO DO SUL","RIO GRANDE DO SUL"
"CRUZEIRO","SAO PAULO"
"CRUZETA","RIO GRANDE DO NORTE"
"CRUZILIA","MINAS GERAIS"
"CRUZ MACHADO","PARANA"
"CRUZMALTINA","PARANA"
"CRUZ","CEARA"
"CUBATAO","SAO PAULO"
"CUBATI","PARAIBA"
"CUIABA","MATO GROSSO"
"CUITE DE MAMANGUAPE","PARAIBA"
"CUITEGI","PARAIBA"
"CUITE","PARAIBA"
"CUJUBIM","RONDONIA"
"CUMARI","GOIAS"
"CUMARU DO NORTE","PARA"
"CUMARU","PERNAMBUCO"
"CUMBE","SERGIPE"
"CUNHA PORA","SANTA CATARINA"
"CUNHA","SAO PAULO"
"CUNHATAI","SANTA CATARINA"
"CUPARAQUE","MINAS GERAIS"
"CUPIRA","PERNAMBUCO"
"CURACA","BAHIA"
"CURIMATA","PIAUI"
"CURIONOPOLIS","PARA"
"CURITIBANOS","SANTA CATARINA"
"CURITIBA","PARANA"
"CURIUVA","PARANA"
"CURRAIS NOVOS","RIO GRANDE DO NORTE"
"CURRAIS","PIAUI"
"CURRAL DE CIMA","PARAIBA"
"CURRAL DE DENTRO","MINAS GERAIS"
"CURRALINHO","PARA"
"CURRALINHOS","PIAUI"
"CURRAL NOVO DO PIAUI","PIAUI"
"CURRAL VELHO","PARAIBA"
"CURUA","PARA"
"CURUCA","PARA"
"CURURUPU","MARANHAO"
"CURVELANDIA","MATO GROSSO"
"CURVELO","MINAS GERAIS"
"CUSTODIA","PERNAMBUCO"
"CUTIAS","AMAPA"
"DAMIANOPOLIS","GOIAS"
"DAMIAO","PARAIBA"
"DAMOLANDIA","GOIAS"
"DARCINOPOLIS","TOCANTINS"
"DARIO MEIRA","BAHIA"
"DATAS","MINAS GERAIS"
"DAVID CANABARRO","RIO GRANDE DO SUL"
"DAVINOPOLIS","GOIAS"
"DAVINOPOLIS","MARANHAO"
"DELFIM MOREIRA","MINAS GERAIS"
"DELFINOPOLIS","MINAS GERAIS"
"DELMIRO GOUVEIA","ALAGOAS"
"DELTA","MINAS GERAIS"
"DEMERVAL LOBAO","PIAUI"
"DENISE","MATO GROSSO"
"DEODAPOLIS","MATO GROSSO DO SUL"
"DEPUTADO IRAPUAN PINHEIRO","CEARA"
"DERRUBADAS","RIO GRANDE DO SUL"
"DESCALVADO","SAO PAULO"
"DESCANSO","SANTA CATARINA"
"DESCOBERTO","MINAS GERAIS"
"DESTERRO DE ENTRE RIOS","MINAS GERAIS"
"DESTERRO DO MELO","MINAS GERAIS"
"DESTERRO","PARAIBA"
"DEZESSEIS DE NOVEMBRO","RIO GRANDE DO SUL"
"DIADEMA","SAO PAULO"
"DIAMANTE D""OESTE","PARANA"
"DIAMANTE DO NORTE","PARANA"
"DIAMANTE DO SUL","PARANA"
"DIAMANTE","PARAIBA"
"DIAMANTINA","MINAS GERAIS"
"DIAMANTINO","MATO GROSSO"
"DIANOPOLIS","TOCANTINS"
"DIAS D""AVILA","BAHIA"
"DILERMANDO DE AGUIAR","RIO GRANDE DO SUL"
"DIOGO DE VASCONCELOS","MINAS GERAIS"
"DIONISIO CERQUEIRA","SANTA CATARINA"
"DIONISIO","MINAS GERAIS"
"DIORAMA","GOIAS"
"DIRCE REIS","SAO PAULO"
"DIRCEU ARCOVERDE","PIAUI"
"DIVINA PASTORA","SERGIPE"
"DIVINESIA","MINAS GERAIS"
"DIVINO DAS LARANJEIRAS","MINAS GERAIS"
"DIVINO DE SAO LOURENCO","ESPIRITO SANTO"
"DIVINOLANDIA DE MINAS","MINAS GERAIS"
"DIVINOLANDIA","SAO PAULO"
"DIVINOPOLIS DE GOIAS","GOIAS"
"DIVINOPOLIS DO TOCANTINS","TOCANTINS"
"DIVINOPOLIS","MINAS GERAIS"
"DIVINO","MINAS GERAIS"
"DIVISA ALEGRE","MINAS GERAIS"
"DIVISA NOVA","MINAS GERAIS"
"DIVISOPOLIS","MINAS GERAIS"
"DOBRADA","SAO PAULO"
"DOIS CORREGOS","SAO PAULO"
"DOIS IRMAOS DAS MISSOES","RIO GRANDE DO SUL"
"DOIS IRMAOS DO BURITI","MATO GROSSO DO SUL"
"DOIS IRMAOS DO TOCANTINS","TOCANTINS"
"DOIS IRMAOS","RIO GRANDE DO SUL"
"DOIS LAJEADOS","RIO GRANDE DO SUL"
"DOIS RIACHOS","ALAGOAS"
"DOIS VIZINHOS","PARANA"
"DOLCINOPOLIS","SAO PAULO"
"DOM AQUINO","MATO GROSSO"
"DOM BASILIO","BAHIA"
"DOM BOSCO","MINAS GERAIS"
"DOM CAVATI","MINAS GERAIS"
"DOM ELISEU","PARA"
"DOM EXPEDITO LOPES","PIAUI"
"DOM FELICIANO","RIO GRANDE DO SUL"
"DOMINGOS MARTINS","ESPIRITO SANTO"
"DOMINGOS MOURAO","PIAUI"
"DOM INOCENCIO","PIAUI"
"DOM JOAQUIM","MINAS GERAIS"
"DOM MACEDO COSTA","BAHIA"
"DOM PEDRITO","RIO GRANDE DO SUL"
"DOM PEDRO DE ALCANTARA","RIO GRANDE DO SUL"
"DOM PEDRO","MARANHAO"
"DOM SILVERIO","MINAS GERAIS"
"DOM VICOSO","MINAS GERAIS"
"DONA EMMA","SANTA CATARINA"
"DONA EUSEBIA","MINAS GERAIS"
"DONA FRANCISCA","RIO GRANDE DO SUL"
"DONA INES","PARAIBA"
"DORES DE CAMPOS","MINAS GERAIS"
"DORES DE GUANHAES","MINAS GERAIS"
"DORES DO INDAIA","MINAS GERAIS"
"DORES DO RIO PRETO","ESPIRITO SANTO"
"DORES DO TURVO","MINAS GERAIS"
"DORESOPOLIS","MINAS GERAIS"
"DORMENTES","PERNAMBUCO"
"DOURADINA","MATO GROSSO DO SUL"
"DOURADINA","PARANA"
"DOURADOQUARA","MINAS GERAIS"
"DOURADO","SAO PAULO"
"DOURADOS","MATO GROSSO DO SUL"
"DOUTOR CAMARGO","PARANA"
"DOUTOR MAURICIO CARDOSO","RIO GRANDE DO SUL"
"DOUTOR PEDRINHO","SANTA CATARINA"
"DOUTOR RICARDO","RIO GRANDE DO SUL"
"DOUTOR SEVERIANO","RIO GRANDE DO NORTE"
"DOUTOR ULYSSES","PARANA"
"DOVERLANDIA","GOIAS"
"DRACENA","SAO PAULO"
"DUARTINA","SAO PAULO"
"DUAS BARRAS","RIO DE JANEIRO"
"DUAS ESTRADAS","PARAIBA"
"DUERE","TOCANTINS"
"DUMONT","SAO PAULO"
"DUQUE BACELAR","MARANHAO"
"DUQUE DE CAXIAS","RIO DE JANEIRO"
"DURANDE","MINAS GERAIS"
"ECHAPORA","SAO PAULO"
"ECOPORANGA","ESPIRITO SANTO"
"EDEALINA","GOIAS"
"EDEIA","GOIAS"
"EIRUNEPE","AMAZONAS"
"ELDORADO DOS CARAJAS","PARA"
"ELDORADO DO SUL","RIO GRANDE DO SUL"
"ELDORADO","MATO GROSSO DO SUL"
"ELDORADO","SAO PAULO"
"ELESBAO VELOSO","PIAUI"
"ELIAS FAUSTO","SAO PAULO"
"ELISEU MARTINS","PIAUI"
"ELISIARIO","SAO PAULO"
"ELISIO MEDRADO","BAHIA"
"ELOI MENDES","MINAS GERAIS"
"EMAS","PARAIBA"
"EMBAUBA","SAO PAULO"
"EMBU-GUACU","SAO PAULO"
"EMBU","SAO PAULO"
"EMILIANOPOLIS","SAO PAULO"
"ENCANTADO","RIO GRANDE DO SUL"
"ENCANTO","RIO GRANDE DO NORTE"
"ENCRUZILHADA DO SUL","RIO GRANDE DO SUL"
"ENCRUZILHADA","BAHIA"
"ENEAS MARQUES","PARANA"
"ENGENHEIRO BELTRAO","PARANA"
"ENGENHEIRO CALDAS","MINAS GERAIS"
"ENGENHEIRO COELHO","SAO PAULO"
"ENGENHEIRO NAVARRO","MINAS GERAIS"
"ENGENHEIRO PAULO DE FRONTIN","RIO DE JANEIRO"
"ENGENHO VELHO","RIO GRANDE DO SUL"
"ENTRE FOLHAS","MINAS GERAIS"
"ENTRE-IJUIS","RIO GRANDE DO SUL"
"ENTRE RIOS DE MINAS","MINAS GERAIS"
"ENTRE RIOS DO OESTE","PARANA"
"ENTRE RIOS DO SUL","RIO GRANDE DO SUL"
"ENTRE RIOS","BAHIA"
"ENTRE RIOS","SANTA CATARINA"
"ENVIRA","AMAZONAS"
"EPITACIOLANDIA","ACRE"
"EQUADOR","RIO GRANDE DO NORTE"
"EREBANGO","RIO GRANDE DO SUL"
"ERECHIM","RIO GRANDE DO SUL"
"ERERE","CEARA"
"ERICO CARDOSO","BAHIA"
"ERMO","SANTA CATARINA"
"ERNESTINA","RIO GRANDE DO SUL"
"ERVAL GRANDE","RIO GRANDE DO SUL"
"ERVALIA","MINAS GERAIS"
"ERVAL SECO","RIO GRANDE DO SUL"
"ERVAL VELHO","SANTA CATARINA"
"ESCADA","PERNAMBUCO"
"ESMERALDA","RIO GRANDE DO SUL"
"ESMERALDAS","MINAS GERAIS"
"ESPERA FELIZ","MINAS GERAIS"
"ESPERANCA DO SUL","RIO GRANDE DO SUL"
"ESPERANCA NOVA","PARANA"
"ESPERANCA","PARAIBA"
"ESPERANTINA","PIAUI"
"ESPERANTINA","TOCANTINS"
"ESPERANTINOPOLIS","MARANHAO"
"ESPIGAO ALTO DO IGUACU","PARANA"
"ESPIGAO D""OESTE","RONDONIA"
"ESPINOSA","MINAS GERAIS"
"ESPIRITO SANTO DO DOURADO","MINAS GERAIS"
"ESPIRITO SANTO DO PINHAL","SAO PAULO"
"ESPIRITO SANTO DO TURVO","SAO PAULO"
"ESPIRITO SANTO","RIO GRANDE DO NORTE"
"ESPLANADA","BAHIA"
"ESPUMOSO","RIO GRANDE DO SUL"
"ESTACAO","RIO GRANDE DO SUL"
"ESTANCIA","SERGIPE"
"ESTANCIA VELHA","RIO GRANDE DO SUL"
"ESTEIO","RIO GRANDE DO SUL"
"ESTIVA GERBI","SAO PAULO"
"ESTIVA","MINAS GERAIS"
"ESTREITO","MARANHAO"
"ESTRELA DALVA","MINAS GERAIS"
"ESTRELA DE ALAGOAS","ALAGOAS"
"ESTRELA D""OESTE","SAO PAULO"
"ESTRELA DO INDAIA","MINAS GERAIS"
"ESTRELA DO NORTE","GOIAS"
"ESTRELA DO NORTE","SAO PAULO"
"ESTRELA DO SUL","MINAS GERAIS"
"ESTRELA","RIO GRANDE DO SUL"
"ESTRELA VELHA","RIO GRANDE DO SUL"
"EUCLIDES DA CUNHA PAULISTA","SAO PAULO"
"EUCLIDES DA CUNHA","BAHIA"
"EUGENIO DE CASTRO","RIO GRANDE DO SUL"
"EUGENOPOLIS","MINAS GERAIS"
"EUNAPOLIS","BAHIA"
"EUSEBIO","CEARA"
"EWBANK DA CAMARA","MINAS GERAIS"
"EXTREMA","MINAS GERAIS"
"EXTREMOZ","RIO GRANDE DO NORTE"
"EXU","PERNAMBUCO"
"FAGUNDES","PARAIBA"
"FAGUNDES VARELA","RIO GRANDE DO SUL"
"FAINA","GOIAS"
"FAMA","MINAS GERAIS"
"FARIA LEMOS","MINAS GERAIS"
"FARIAS BRITO","CEARA"
"FAROL","PARANA"
"FARO","PARA"
"FARROUPILHA","RIO GRANDE DO SUL"
"FARTURA DO PIAUI","PIAUI"
"FARTURA","SAO PAULO"
"FATIMA DO SUL","MATO GROSSO DO SUL"
"FATIMA","BAHIA"
"FATIMA","TOCANTINS"
"FAXINAL DOS GUEDES","SANTA CATARINA"
"FAXINAL DO SOTURNO","RIO GRANDE DO SUL"
"FAXINAL","PARANA"
"FAXINALZINHO","RIO GRANDE DO SUL"
"FAZENDA NOVA","GOIAS"
"FAZENDA RIO GRANDE","PARANA"
"FAZENDA VILANOVA","RIO GRANDE DO SUL"
"FEIJO","ACRE"
"FEIRA DA MATA","BAHIA"
"FEIRA DE SANTANA","BAHIA"
"FEIRA GRANDE","ALAGOAS"
"FEIRA NOVA DO MARANHAO","MARANHAO"
"FEIRA NOVA","PERNAMBUCO"
"FEIRA NOVA","SERGIPE"
"FELICIO DOS SANTOS","MINAS GERAIS"
"FELIPE GUERRA","RIO GRANDE DO NORTE"
"FELISBURGO","MINAS GERAIS"
"FELIXLANDIA","MINAS GERAIS"
"FELIZ DESERTO","ALAGOAS"
"FELIZ NATAL","MATO GROSSO"
"FELIZ","RIO GRANDE DO SUL"
"FENIX","PARANA"
"FERNANDES PINHEIRO","PARANA"
"FERNANDES TOURINHO","MINAS GERAIS"
"FERNANDO DE NORONHA","PERNAMBUCO"
"FERNANDO FALCAO","MARANHAO"
"FERNANDO PEDROZA","RIO GRANDE DO NORTE"
"FERNANDOPOLIS","SAO PAULO"
"FERNANDO PRESTES","SAO PAULO"
"FERNAO","SAO PAULO"
"FERRAZ DE VASCONCELOS","SAO PAULO"
"FERREIRA GOMES","AMAPA"
"FERREIROS","PERNAMBUCO"
"FERROS","MINAS GERAIS"
"FERVEDOURO","MINAS GERAIS"
"FIGUEIRAO","MATO GROSSO DO SUL"
"FIGUEIRA","PARANA"
"FIGUEIROPOLIS D""OESTE","MATO GROSSO"
"FIGUEIROPOLIS","TOCANTINS"
"FILADELFIA","BAHIA"
"FILADELFIA","TOCANTINS"
"FIRMINO ALVES","BAHIA"
"FIRMINOPOLIS","GOIAS"
"FLEXEIRAS","ALAGOAS"
"FLORAI","PARANA"
"FLORANIA","RIO GRANDE DO NORTE"
"FLORA RICA","SAO PAULO"
"FLOR DA SERRA DO SUL","PARANA"
"FLOR DO SERTAO","SANTA CATARINA"
"FLOREAL","SAO PAULO"
"FLORES DA CUNHA","RIO GRANDE DO SUL"
"FLORES DE GOIAS","GOIAS"
"FLORES DO PIAUI","PIAUI"
"FLORES","PERNAMBUCO"
"FLORESTA AZUL","BAHIA"
"FLORESTA DO ARAGUAIA","PARA"
"FLORESTA DO PIAUI","PIAUI"
"FLORESTAL","MINAS GERAIS"
"FLORESTA","PARANA"
"FLORESTA","PERNAMBUCO"
"FLORESTOPOLIS","PARANA"
"FLORIANO PEIXOTO","RIO GRANDE DO SUL"
"FLORIANOPOLIS","SANTA CATARINA"
"FLORIANO","PIAUI"
"FLORIDA PAULISTA","SAO PAULO"
"FLORIDA","PARANA"
"FLORINIA","SAO PAULO"
"FONTE BOA","AMAZONAS"
"FONTOURA XAVIER","RIO GRANDE DO SUL"
"FORMIGA","MINAS GERAIS"
"FORMIGUEIRO","RIO GRANDE DO SUL"
"FORMOSA DA SERRA NEGRA","MARANHAO"
"FORMOSA DO OESTE","PARANA"
"FORMOSA DO RIO PRETO","BAHIA"
"FORMOSA DO SUL","SANTA CATARINA"
"FORMOSA","GOIAS"
"FORMOSO DO ARAGUAIA","TOCANTINS"
"FORMOSO","GOIAS"
"FORMOSO","MINAS GERAIS"
"FORQUETINHA","RIO GRANDE DO SUL"
"FORQUILHA","CEARA"
"FORQUILHINHA","SANTA CATARINA"
"FORTALEZA DE MINAS","MINAS GERAIS"
"FORTALEZA DOS NOGUEIRAS","MARANHAO"
"FORTALEZA DOS VALOS","RIO GRANDE DO SUL"
"FORTALEZA DO TABOCAO","TOCANTINS"
"FORTALEZA","CEARA"
"FORTIM","CEARA"
"FORTUNA DE MINAS","MINAS GERAIS"
"FORTUNA","MARANHAO"
"FOZ DO IGUACU","PARANA"
"FOZ DO JORDAO","PARANA"
"FRAIBURGO","SANTA CATARINA"
"FRANCA","SAO PAULO"
"FRANCINOPOLIS","PIAUI"
"FRANCISCO ALVES","PARANA"
"FRANCISCO AYRES","PIAUI"
"FRANCISCO BADARO","MINAS GERAIS"
"FRANCISCO BELTRAO","PARANA"
"FRANCISCO DANTAS","RIO GRANDE DO NORTE"
"FRANCISCO DUMONT","MINAS GERAIS"
"FRANCISCO MACEDO","PIAUI"
"FRANCISCO MORATO","SAO PAULO"
"FRANCISCOPOLIS","MINAS GERAIS"
"FRANCISCO SANTOS","PIAUI"
"FRANCISCO SA","MINAS GERAIS"
"FRANCO DA ROCHA","SAO PAULO"
"FRECHEIRINHA","CEARA"
"FREDERICO WESTPHALEN","RIO GRANDE DO SUL"
"FREI GASPAR","MINAS GERAIS"
"FREI INOCENCIO","MINAS GERAIS"
"FREI LAGONEGRO","MINAS GERAIS"
"FREI MARTINHO","PARAIBA"
"FREI MIGUELINHO","PERNAMBUCO"
"FREI PAULO","SERGIPE"
"FREI ROGERIO","SANTA CATARINA"
"FRONTEIRA DOS VALES","MINAS GERAIS"
"FRONTEIRA","MINAS GERAIS"
"FRONTEIRAS","PIAUI"
"FRUTA DE LEITE","MINAS GERAIS"
"FRUTAL","MINAS GERAIS"
"FRUTUOSO GOMES","RIO GRANDE DO NORTE"
"FUNDAO","ESPIRITO SANTO"
"FUNILANDIA","MINAS GERAIS"
"GABRIEL MONTEIRO","SAO PAULO"
"GADO BRAVO","PARAIBA"
"GALIA","SAO PAULO"
"GALILEIA","MINAS GERAIS"
"GALINHOS","RIO GRANDE DO NORTE"
"GALVAO","SANTA CATARINA"
"GAMELEIRA DE GOIAS","GOIAS"
"GAMELEIRA","PERNAMBUCO"
"GAMELEIRAS","MINAS GERAIS"
"GANDU","BAHIA"
"GARANHUNS","PERNAMBUCO"
"GARARU","SERGIPE"
"GARCA","SAO PAULO"
"GARIBALDI","RIO GRANDE DO SUL"
"GAROPABA","SANTA CATARINA"
"GARRAFAO DO NORTE","PARA"
"GARRUCHOS","RIO GRANDE DO SUL"
"GARUVA","SANTA CATARINA"
"GASPAR","SANTA CATARINA"
"GASTAO VIDIGAL","SAO PAULO"
"GAUCHA DO NORTE","MATO GROSSO"
"GAURAMA","RIO GRANDE DO SUL"
"GAVIAO PEIXOTO","SAO PAULO"
"GAVIAO","BAHIA"
"GEMINIANO","PIAUI"
"GENERAL CAMARA","RIO GRANDE DO SUL"
"GENERAL CARNEIRO","MATO GROSSO"
"GENERAL CARNEIRO","PARANA"
"GENERAL MAYNARD","SERGIPE"
"GENERAL SALGADO","SAO PAULO"
"GENERAL SAMPAIO","CEARA"
"GENTIL","RIO GRANDE DO SUL"
"GENTIO DO OURO","BAHIA"
"GETULINA","SAO PAULO"
"GETULIO VARGAS","RIO GRANDE DO SUL"
"GILBUES","PIAUI"
"GIRAU DO PONCIANO","ALAGOAS"
"GIRUA","RIO GRANDE DO SUL"
"GLAUCILANDIA","MINAS GERAIS"
"GLICERIO","SAO PAULO"
"GLORIA DE DOURADOS","MATO GROSSO DO SUL"
"GLORIA D""OESTE","MATO GROSSO"
"GLORIA DO GOITA","PERNAMBUCO"
"GLORIA","BAHIA"
"GLORINHA","RIO GRANDE DO SUL"
"GODOFREDO VIANA","MARANHAO"
"GODOY MOREIRA","PARANA"
"GOIABEIRA","MINAS GERAIS"
"GOIANAPOLIS","GOIAS"
"GOIANA","MINAS GERAIS"
"GOIANA","PERNAMBUCO"
"GOIANDIRA","GOIAS"
"GOIANESIA DO PARA","PARA"
"GOIANESIA","GOIAS"
"GOIANIA","GOIAS"
"GOIANINHA","RIO GRANDE DO NORTE"
"GOIANIRA","GOIAS"
"GOIANORTE","TOCANTINS"
"GOIAS","GOIAS"
"GOIATINS","TOCANTINS"
"GOIATUBA","GOIAS"
"GOIOERE","PARANA"
"GOIOXIM","PARANA"
"GONCALVES DIAS","MARANHAO"
"GONCALVES","MINAS GERAIS"
"GONGOGI","BAHIA"
"GONZAGA","MINAS GERAIS"
"GOUVEIA","MINAS GERAIS"
"GOUVELANDIA","GOIAS"
"GOVERNADOR ARCHER","MARANHAO"
"GOVERNADOR CELSO RAMOS","SANTA CATARINA"
"GOVERNADOR DIX-SEPT ROSADO","RIO GRANDE DO NORTE"
"GOVERNADOR EDISON LOBAO","MARANHAO"
"GOVERNADOR EUGENIO BARROS","MARANHAO"
"GOVERNADOR JORGE TEIXEIRA","RONDONIA"
"GOVERNADOR LINDENBERG","ESPIRITO SANTO"
"GOVERNADOR LUIZ ROCHA","MARANHAO"
"GOVERNADOR MANGABEIRA","BAHIA"
"GOVERNADOR NEWTON BELLO","MARANHAO"
"GOVERNADOR NUNES FREIRE","MARANHAO"
"GOVERNADOR VALADARES","MINAS GERAIS"
"GRACA ARANHA","MARANHAO"
"GRACA","CEARA"
"GRACHO CARDOSO","SERGIPE"
"GRAJAU","MARANHAO"
"GRAMADO DOS LOUREIROS","RIO GRANDE DO SUL"
"GRAMADO","RIO GRANDE DO SUL"
"GRAMADO XAVIER","RIO GRANDE DO SUL"
"GRANDES RIOS","PARANA"
"GRANITO","PERNAMBUCO"
"GRANJA","CEARA"
"GRANJEIRO","CEARA"
"GRAO MOGOL","MINAS GERAIS"
"GRAO PARA","SANTA CATARINA"
"GRAVATAI","RIO GRANDE DO SUL"
"GRAVATAL","SANTA CATARINA"
"GRAVATA","PERNAMBUCO"
"GROAIRAS","CEARA"
"GROSSOS","RIO GRANDE DO NORTE"
"GRUPIARA","MINAS GERAIS"
"GUABIJU","RIO GRANDE DO SUL"
"GUABIRUBA","SANTA CATARINA"
"GUACUI","ESPIRITO SANTO"
"GUADALUPE","PIAUI"
"GUAIBA","RIO GRANDE DO SUL"
"GUAICARA","SAO PAULO"
"GUAIMBE","SAO PAULO"
"GUAIRACA","PARANA"
"GUAIRA","PARANA"
"GUAIRA","SAO PAULO"
"GUAIUBA","CEARA"
"GUAJARA-MIRIM","RONDONIA"
"GUAJARA","AMAZONAS"
"GUAJERU","BAHIA"
"GUAMARE","RIO GRANDE DO NORTE"
"GUAMIRANGA","PARANA"
"GUANAMBI","BAHIA"
"GUANHAES","MINAS GERAIS"
"GUAPE","MINAS GERAIS"
"GUAPIACU","SAO PAULO"
"GUAPIARA","SAO PAULO"
"GUAPIMIRIM","RIO DE JANEIRO"
"GUAPIRAMA","PARANA"
"GUAPOREMA","PARANA"
"GUAPORE","RIO GRANDE DO SUL"
"GUAPO","GOIAS"
"GUARABIRA","PARAIBA"
"GUARACAI","SAO PAULO"
"GUARACIABA DO NORTE","CEARA"
"GUARACIABA","MINAS GERAIS"
"GUARACIABA","SANTA CATARINA"
"GUARACIAMA","MINAS GERAIS"
"GUARACI","PARANA"
"GUARACI","SAO PAULO"
"GUARAI","TOCANTINS"
"GUARAITA","GOIAS"
"GUARAMIRANGA","CEARA"
"GUARAMIRIM","SANTA CATARINA"
"GUARANESIA","MINAS GERAIS"
"GUARANIACU","PARANA"
"GUARANI DAS MISSOES","RIO GRANDE DO SUL"
"GUARANI DE GOIAS","GOIAS"
"GUARANI D""OESTE","SAO PAULO"
"GUARANI","MINAS GERAIS"
"GUARANTA DO NORTE","MATO GROSSO"
"GUARANTA","SAO PAULO"
"GUARAPARI","ESPIRITO SANTO"
"GUARAPUAVA","PARANA"
"GUARAQUECABA","PARANA"
"GUARARAPES","SAO PAULO"
"GUARARA","MINAS GERAIS"
"GUARAREMA","SAO PAULO"
"GUARA","SAO PAULO"
"GUARATINGA","BAHIA"
"GUARATINGUETA","SAO PAULO"
"GUARATUBA","PARANA"
"GUARDA-MOR","MINAS GERAIS"
"GUAREI","SAO PAULO"
"GUARIBA","SAO PAULO"
"GUARIBAS","PIAUI"
"GUARINOS","GOIAS"
"GUARUJA DO SUL","SANTA CATARINA"
"GUARUJA","SAO PAULO"
"GUARULHOS","SAO PAULO"
"GUATAMBU","SANTA CATARINA"
"GUATAPARA","SAO PAULO"
